BENEFIT_ID ,BENEFIR_DESC, DISCOUNT_AMT, DISCOUNT_START_DT,DISCOUNT_END_DT DATE
1000,chase freedom cash back: (United States),34,01-01-2004,01-02-2004
1000,chase freedom cash back: (United States),26,01-02-2004,01-03-2004
1000,chase freedom cash back: (United States),21,01-03-2004,01-04-2004
1000,chase freedom cash back: (United States),22,01-04-2004,01-05-2004
1000,chase freedom cash back: (United States),29,01-05-2004,01-06-2004
1000,chase freedom cash back: (United States),38,01-06-2004,01-07-2004
1000,chase freedom cash back: (United States),39,01-07-2004,01-08-2004
1000,chase freedom cash back: (United States),48,01-08-2004,01-09-2004
1000,chase freedom cash back: (United States),36,01-09-2004,01-10-2004
1000,chase freedom cash back: (United States),28,01-10-2004,01-11-2004
1000,chase freedom cash back: (United States),33,01-11-2004,01-12-2004
1000,chase freedom cash back: (United States),37,01-12-2004,01-01-2005
1000,chase freedom cash back: (United States),42,01-01-2005,01-02-2005
1000,chase freedom cash back: (United States),32,01-02-2005,01-03-2005
1000,chase freedom cash back: (United States),34,01-03-2005,01-04-2005
1000,chase freedom cash back: (United States),36,01-04-2005,01-05-2005
1000,chase freedom cash back: (United States),30,01-05-2005,01-06-2005
1000,chase freedom cash back: (United States),41,01-06-2005,01-07-2005
1000,chase freedom cash back: (United States),41,01-07-2005,01-08-2005
1000,chase freedom cash back: (United States),47,01-08-2005,01-09-2005
1000,chase freedom cash back: (United States),35,01-09-2005,01-10-2005
1000,chase freedom cash back: (United States),35,01-10-2005,01-11-2005
1000,chase freedom cash back: (United States),34,01-11-2005,01-12-2005
1000,chase freedom cash back: (United States),26,01-12-2005,01-01-2006
1000,chase freedom cash back: (United States),39,01-01-2006,01-02-2006
1000,chase freedom cash back: (United States),32,01-02-2006,01-03-2006
1000,chase freedom cash back: (United States),31,01-03-2006,01-04-2006
1000,chase freedom cash back: (United States),28,01-04-2006,01-05-2006
1000,chase freedom cash back: (United States),35,01-05-2006,01-06-2006
1000,chase freedom cash back: (United States),40,01-06-2006,01-07-2006
1000,chase freedom cash back: (United States),39,01-07-2006,01-08-2006
1000,chase freedom cash back: (United States),43,01-08-2006,01-09-2006
1000,chase freedom cash back: (United States),44,01-09-2006,01-10-2006
1000,chase freedom cash back: (United States),36,01-10-2006,01-11-2006
1000,chase freedom cash back: (United States),35,01-11-2006,01-12-2006
1000,chase freedom cash back: (United States),34,01-12-2006,01-01-2007
1000,chase freedom cash back: (United States),37,01-01-2007,01-02-2007
1000,chase freedom cash back: (United States),33,01-02-2007,01-03-2007
1000,chase freedom cash back: (United States),36,01-03-2007,01-04-2007
1000,chase freedom cash back: (United States),29,01-04-2007,01-05-2007
1000,chase freedom cash back: (United States),30,01-05-2007,01-06-2007
1000,chase freedom cash back: (United States),31,01-06-2007,01-07-2007
1000,chase freedom cash back: (United States),38,01-07-2007,01-08-2007
1000,chase freedom cash back: (United States),34,01-08-2007,01-09-2007
1000,chase freedom cash back: (United States),33,01-09-2007,01-10-2007
1000,chase freedom cash back: (United States),31,01-10-2007,01-11-2007
1000,chase freedom cash back: (United States),33,01-11-2007,01-12-2007
1000,chase freedom cash back: (United States),32,01-12-2007,01-01-2008
1000,chase freedom cash back: (United States),31,01-01-2008,01-02-2008
1000,chase freedom cash back: (United States),27,01-02-2008,01-03-2008
1000,chase freedom cash back: (United States),31,01-03-2008,01-04-2008
1000,chase freedom cash back: (United States),30,01-04-2008,01-05-2008
1000,chase freedom cash back: (United States),33,01-05-2008,01-06-2008
1000,chase freedom cash back: (United States),39,01-06-2008,01-07-2008
1000,chase freedom cash back: (United States),39,01-07-2008,01-08-2008
1000,chase freedom cash back: (United States),43,01-08-2008,01-09-2008
1000,chase freedom cash back: (United States),37,01-09-2008,01-10-2008
1000,chase freedom cash back: (United States),35,01-10-2008,01-11-2008
1000,chase freedom cash back: (United States),49,01-11-2008,01-12-2008
1000,chase freedom cash back: (United States),65,01-12-2008,01-01-2009
1000,chase freedom cash back: (United States),43,01-01-2009,01-02-2009
1000,chase freedom cash back: (United States),38,01-02-2009,01-03-2009
1000,chase freedom cash back: (United States),35,01-03-2009,01-04-2009
1000,chase freedom cash back: (United States),36,01-04-2009,01-05-2009
1000,chase freedom cash back: (United States),42,01-05-2009,01-06-2009
1000,chase freedom cash back: (United States),38,01-06-2009,01-07-2009
1000,chase freedom cash back: (United States),38,01-07-2009,01-08-2009
